NOUN_PHRASES_AMOUNT;FLESCH_KINCAID_GRADE;VIDEOID;VIDEO_NOUN_PHRASES;VIDEO_AVERAGE_BRIGHTNESS;VIDEO_SIZE;PHRASES_AMOUNT;VIDEO_DIFFICULT_WORDS;VIDEO_AVERAGE_LIGHT_EXPOSURE;SPEECH_DISPLAY_WORDS_RATIO;FLESCH_READING_EASE;VIDEO_WORDS_COUNT;VIDEO_ASPECT_RATIO;VIDEO_DOMINANT_COLOR;VIDEO_AVERAGE_COLORFULNESS;AUTOMATED_READABILITY_INDEX;WORD_AMOUNT;FLESCH_KINCAID_VIDEO_GRADE;UNCOMMON WORDS RATIO;VIDEO_DURATION;UNCOMMON WORDS AMOUNT;WORDS_PER_MINUTE_WHOLE_VIDEO;VIDEO_AVERAGE_HUE;EASY_VIDEO_READ;VIDEO_AVERAGE_SATURATION;VIDEO_PHRASES_COUNT;WORDS_PER_MINUTE;WORDS_PER_MINUTE_WHOLE;AUTOMATED_VIDEO_READABILITY_INDEX;DIFFICULT_WORDS_AMOUNT;score
103.0;6.7;3271;77.0;1.0;1500.0;64.0;80.0;223.399989039;0.368697478992;73.27;351.0;1.77777777778;1585.5861;35.535080088;8.3;952.0;20.4;0.302521008403;6.68333333333;288.0;52.5147744558;119.196539101;26.92;29.9313653921;8.0;155.723627716;141.086701743;27.7;125.0;easy
64.0;4.5;3274;520.0;1.0;1500.0;73.0;197.0;210.411652604;1.21758839529;89.99;1343.0;1.77777777778;1664.5629;32.2306066772;4.7;1103.0;6.0;0.250226654578;7.6;276.0;176.625312349;42.6880528582;69.68;27.9870813757;133.0;189.010650056;145.061593091;10.4;51.0;difficult
76.0;6.1;718;128.0;1.0;1500.0;60.0;33.0;216.402346614;0.512658227848;75.0;405.0;1.77777777778;1677.7215;20.4590134427;6.0;790.0;21.8;0.36582278481;7.45;289.0;54.3624161074;18.9025229185;28.58;15.2042086999;8.0;125.565403301;105.637583893;29.3;115.0;easy
77.0;10.0;1744;63.0;0.996197718631;1500.0;37.0;66.0;235.452108183;0.261417322835;54.02;166.0;1.77777777778;1677.7215;16.028955305;12.0;635.0;42.7;0.329133858268;4.36666666667;209.0;37.8736025553;18.6646738282;-63.54;7.70360395249;2.0;164.066644527;144.649783253;57.0;127.0;easy
121.0;7.7;4313;35.0;1.0;1500.0;101.0;41.0;138.886188105;0.0732883317261;76.05;152.0;1.77777777778;1677.7215;30.5360566954;8.4;2074.0;8.0;0.279170684667;11.75;579.0;12.9359867236;16.6768711023;64.51;32.385660786;10.0;176.724713341;177.529396746;11.3;156.0;easy
22.0;8.3;3294;20.0;1.0;1500.0;21.0;23.0;211.172880675;0.19335347432;63.9;64.0;1.77777777778;1585.5861;15.4184150006;9.1;331.0;11.8;0.280966767372;1.88333333333;93.0;33.6989907854;120.519980828;33.1;20.4765957162;5.0;181.217138279;172.707327775;18.9;62.0;easy
26.0;7.7;744;77.0;1.0;1500.0;25.0;28.0;231.672726617;0.648148148148;70.84;280.0;1.77777777778;1677.7215;14.2291949822;7.5;432.0;8.5;0.3125;4.81666666667;135.0;58.1033409421;13.0071025331;63.19;11.4517821752;17.0;118.653037351;88.8151068686;11.3;61.0;easy
83.0;6.1;5616;277.0;0.997732426304;1500.0;59.0;64.0;211.636489351;0.744791666667;80.31;715.0;1.77777777778;1677.7215;14.7685335954;6.8;960.0;4.4;0.311458333333;7.1;299.0;100.612115669;18.0748700825;79.46;11.4295749655;81.0;165.33627571;134.946879617;7.4;86.0;easy
156.0;7.9;4337;21.0;1.0;1500.0;91.0;37.0;182.297383791;0.0529100529101;75.74;100.0;1.77777777778;1677.7215;25.4263005134;8.5;1890.0;22.8;0.255026455026;9.88333333333;482.0;10.1142914939;11.1748396658;20.73;17.079378104;2.0;192.384769539;190.957823404;31.1;166.0;intermediate
76.0;8.0;4340;141.0;1.0;1500.0;58.0;96.0;162.788295243;0.293398533007;75.34;360.0;1.77777777778;1677.7215;31.4017462014;9.2;1227.0;10.5;0.246128769356;7.03333333333;302.0;51.1702833318;15.5493086146;41.97;25.9531262845;29.0;173.780509519;173.694683976;18.6;109.0;easy
58.0;7.2;3287;30.0;1.0;1500.0;45.0;31.0;230.4223793;0.156378600823;71.95;114.0;1.77777777778;1585.5861;29.5116277164;8.0;729.0;10.8;0.229080932785;4.56666666667;167.0;24.9044238121;107.559186497;46.47;23.168567312;7.0;170.505920344;158.601856909;15.1;72.0;difficult
10.0;7.1;781;36.0;1.0;1500.0;17.0;32.0;237.201008037;0.654377880184;66.94;142.0;1.77777777778;1677.7215;11.2702608928;6.9;217.0;20.6;0.299539170507;1.86666666667;65.0;75.4783841247;9.36000288498;31.93;7.3571873805;3.0;120.644922165;115.343727853;30.4;44.0;easy
47.0;5.9;3352;81.0;1.0;1500.0;43.0;45.0;240.176730952;0.354505169867;80.92;240.0;1.77777777778;1677.7215;7.17773369943;5.9;677.0;1.7;0.268833087149;4.88333333333;182.0;49.104859335;12.6681629901;97.2;4.15319099887;30.0;143.270316027;138.516624041;7.0;70.0;easy
98.0;6.9;3887;38.0;1.0;1404.0;66.0;24.0;202.875797227;0.0995024875622;72.97;100.0;1.6;1658.0088;42.4995079262;7.1;1005.0;8.9;0.280597014925;5.46666666667;282.0;18.2503954252;30.788240914;56.96;23.0533941757;7.0;212.411803002;183.598977978;16.2;94.0;intermediate
51.0;7.7;5407;9.0;0.992366412214;1500.0;39.0;12.0;85.9694497897;0.126300148588;70.84;85.0;1.77777777778;1677.7215;23.5763723439;8.2;673.0;35.3;0.267459138187;4.21666666667;180.0;20.1541197392;37.5741904406;-6.35;87.8977802516;1.0;193.034111311;159.810314167;42.9;83.0;intermediate
73.0;4.9;5410;182.0;0.99358974359;1500.0;54.0;47.0;225.775306892;0.633941093969;83.46;452.0;1.77777777778;1677.7215;24.4220105646;5.4;713.0;42.6;0.258064516129;5.01666666667;184.0;90.0368513662;28.385662962;-9.39;11.4840529848;4.0;195.25172836;140.83197769;57.3;72.0;intermediate
103.0;6.6;809;81.0;1.0;1500.0;109.0;65.0;232.473692452;0.184060721063;73.68;291.0;1.77777777778;1677.7215;13.6891996133;6.8;1581.0;32.9;0.268817204301;13.4333333333;425.0;21.6372964533;13.6826857565;-10.89;10.3087108556;4.0;139.003689441;117.332143654;42.5;175.0;intermediate
111.0;9.9;2439;41.0;1.0;1500.0;41.0;31.0;134.820847489;0.116930572473;59.64;96.0;1.77777777778;79.266;65.291903127;11.6;821.0;9.6;0.3215590743;5.55;264.0;17.2480910316;95.9904659373;60.45;166.688872342;5.0;154.152241004;147.327444228;15.7;163.0;intermediate
4.0;12.7;3884;8.0;1.0;1404.0;1.0;10.0;112.347567182;1.0;41.7;21.0;1.6;1664.5881;38.5415177006;14.2;21.0;10.3;0.52380952381;0.283333333333;11.0;71.3073005093;34.9158972051;58.62;98.8892006268;1.0;106.62358643;74.7028862479;16.7;9.0;intermediate
117.0;8.3;4400;30.0;1.0;1500.0;79.0;32.0;191.215119729;0.0764627659574;69.11;115.0;1.77777777778;1677.7215;22.042484028;9.1;1504.0;9.6;0.28125;8.65;423.0;13.2802124834;7.73883515477;60.45;13.0167741275;6.0;173.022503706;172.98920261;14.2;153.0;easy
47.0;6.9;3889;13.0;0.995348837209;1404.0;40.0;15.0;191.441247667;0.0785597381342;72.87;48.0;1.6;1658.0088;42.2008857322;6.3;611.0;5.2;0.335515548282;3.45;205.0;13.9036400502;34.4471972298;71.82;28.7136265432;6.0;195.759611476;177.27141064;9.7;78.0;easy
318.0;4.9;5628;934.0;0.999562363239;1500.0;374.0;280.0;219.359205711;0.540650406504;83.46;2660.0;1.77777777778;1677.7215;15.8176699596;4.4;4920.0;3.2;0.313414634146;36.8333333333;1542.0;72.191062059;18.7402825096;87.92;11.8793557538;302.0;162.945302727;132.712140402;5.6;307.0;intermediate
109.0;6.8;3380;49.0;1.0;1500.0;94.0;38.0;238.39085766;0.100566572238;73.17;142.0;1.77777777778;1677.7215;6.76406047597;6.2;1412.0;4.8;0.309490084986;9.9;437.0;14.341985658;11.6384917385;83.76;3.19966197672;11.0;168.256152591;141.601858398;10.6;118.0;easy
160.0;6.4;4413;30.0;1.0;1500.0;117.0;38.0;190.086937767;0.0641604010025;79.5;128.0;1.77777777778;1677.7215;8.90402319993;7.4;1995.0;11.6;0.290726817043;11.5166666667;580.0;11.1109503624;5.70513738345;49.86;6.93859377158;6.0;173.077591098;173.000969315;16.8;179.0;easy
112.0;5.3;4405;58.0;1.0;1500.0;146.0;39.0;57.4177283884;0.0667306769083;82.34;139.0;1.77777777778;0.0;17.8472571182;4.6;2083.0;5.5;0.317330772924;11.2166666667;661.0;12.3836251058;30.492191225;76.62;54.9617893419;12.0;185.149710202;185.219831618;12.6;169.0;easy
57.0;6.9;5442;99.0;0.997647058824;1500.0;56.0;50.0;181.870408637;0.320973348783;72.76;277.0;1.77777777778;1447.446;67.2808945791;7.2;863.0;23.7;0.261877172654;7.06666666667;226.0;39.123372802;43.2886334877;23.7;78.7876209286;5.0;174.95314963;121.748546409;30.8;112.0;easy
104.0;7.4;5381;124.0;0.998810939358;1500.0;97.0;31.0;227.456396866;0.152345809172;76.96;289.0;1.77777777778;1677.7215;34.9466736523;7.8;1897.0;5.4;0.241960991038;13.55;459.0;21.3095413656;34.6311158752;71.31;24.4402856108;34.0;148.972178489;139.654918154;13.9;130.0;easy
132.0;6.5;4430;27.0;1.0;1500.0;120.0;34.0;187.81618523;0.0595867371456;79.3;124.0;1.77777777778;1677.7215;12.8492085683;7.7;2081.0;13.0;0.316194137434;11.7333333333;658.0;10.5663807306;5.73112580658;56.93;8.89267697098;4.0;175.562446113;175.538260524;17.1;196.0;intermediate
39.0;7.4;5261;15.0;1.0;1404.0;38.0;13.0;204.892195196;0.0755905511811;71.44;48.0;1.6;1677.7215;11.2100402719;7.6;635.0;8.4;0.288188976378;4.3;183.0;11.1248454883;18.5851558155;63.7;9.70817945095;3.0;146.477347468;146.477132262;13.5;68.0;difficult
99.0;9.9;4433;10.0;1.0;1500.0;76.0;19.0;189.488821909;0.0290432801822;64.95;51.0;1.77777777778;1664.5629;8.81098948819;11.9;1756.0;14.4;0.27562642369;10.1833333333;484.0;5.00147102089;6.29216535418;37.13;4.06262262467;2.0;173.061994103;171.619103658;20.1;230.0;intermediate
65.0;8.5;2446;16.0;1.0;1500.0;40.0;12.0;111.807836143;0.0524967989757;68.6;41.0;1.77777777778;59.6051;60.0487325142;9.5;781.0;9.8;0.288092189501;4.98333333333;225.0;8.20875600641;102.013363252;49.11;200.331161066;3.0;173.165612251;156.366791244;14.9;99.0;intermediate
38.0;7.6;5462;10.0;1.0;1500.0;38.0;4.0;86.412025463;0.0286085825748;76.35;22.0;1.77777777778;1677.7215;26.3996776011;8.1;769.0;3.8;0.248374512354;5.25;191.0;4.18463099163;46.0849992125;80.99;100.198694614;3.0;160.474118592;146.271874207;3.9;84.0;difficult
68.0;4.9;3897;21.0;1.0;1404.0;65.0;17.0;69.4743134959;0.0655737704918;83.56;56.0;1.6;0.0;27.1766836798;6.1;854.0;6.9;0.327868852459;4.66666666667;280.0;11.9824542634;59.5499539142;62.04;48.6754091199;6.0;191.154254603;185.08612389;11.1;70.0;easy
44.0;7.1;5464;145.0;1.0;1500.0;49.0;38.0;127.065200541;0.607561929596;72.46;466.0;1.77777777778;1677.7215;22.1124451702;7.6;767.0;10.4;0.264667535854;5.03333333333;203.0;92.3076923077;34.6471612642;79.98;59.9102347665;14.0;180.038495845;151.931330472;14.0;98.0;easy
43.0;7.9;3929;44.0;0.996138996139;1404.0;37.0;29.0;159.563510121;0.145618556701;75.54;113.0;1.6;1658.0088;38.9386378977;9.2;776.0;8.4;0.259020618557;4.3;201.0;26.2495644431;29.48051297;63.59;42.4537685751;7.0;184.646214037;179.797901583;15.5;74.0;difficult
54.0;2.9;4445;145.0;1.0;1260.0;67.0;72.0;163.831480002;0.569482288828;94.15;418.0;1.33333333333;1677.7215;43.2652827743;2.1;734.0;8.0;0.287465940054;4.28333333333;211.0;97.5875486381;93.1577670449;69.92;61.3886414822;23.0;186.53299888;170.428015564;12.6;58.0;easy
53.0;7.5;5314;51.0;0.994444444444;1500.0;53.0;46.0;242.534963815;0.177528089888;71.34;158.0;1.77777777778;1677.7215;23.0852359604;7.7;890.0;7.3;0.260674157303;5.98333333333;232.0;26.3721590119;21.3822420803;66.54;10.3147595111;12.0;147.572318505;147.550560547;10.9;99.0;easy
